City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Marsá Maţrūḩ,0,EG,71,31.35,27.25,51.8,9.37
Hasaki,75,JP,100,35.73,140.83,46.4,13.87
Tadine,72,NC,73,-21.55,167.88,82.35,15.39
Makakilo City,75,US,78,21.35,-158.09,78.8,4.05
Maracás,35,BR,99,-13.44,-40.43,63.63,6.24
Mount Gambier,0,AU,45,-37.83,140.77,64.4,17.22
Ayan,16,RU,84,56.45,138.17,10.53,7.36
Progreso,20,MX,68,21.28,-89.67,68.0,6.58
Inhambane,0,MZ,80,-23.86,35.38,71.55,5.23
Hualmay,100,PE,85,-11.1,-77.61,66.96,9.37
Alushta,89,UA,84,44.67,34.42,48.65,2.95
Elliot Lake,90,CA,86,46.38,-82.63,37.4,10.29
Buta,94,CD,89,2.79,24.73,68.9,0.43
Linjiang,19,CN,87,41.81,126.91,31.46,5.28
Petrov Val,0,RU,93,50.14,45.21,12.11,6.53
Were Īlu,65,ET,67,10.6,39.43,43.36,6.38
New Iberia,1,US,93,30.0,-91.82,57.0,4.7
Norsup,75,VU,79,-16.07,167.38,84.2,10.29
Kochi,75,IN,83,9.94,76.26,78.8,5.68
Jalu,0,LY,40,29.03,21.55,57.24,12.24
Yokadouma,64,CM,59,3.52,15.05,69.4,0.6
San Quintín,99,MX,86,30.48,-115.95,60.03,14.2
Norman Wells,75,CA,84,65.28,-126.83,5.0,13.87
Kodinsk,99,RU,86,58.69,99.18,-16.53,3.65
Alindao,98,CF,51,5.03,21.21,71.06,2.53
Denpasar,20,ID,62,-8.65,115.22,89.6,17.22
Brae,97,GB,70,60.4,-1.35,46.4,26.4
Ust'-Omchug,89,RU,84,61.15,149.63,-18.13,2.48
Hamburg,90,DE,100,53.55,10.0,37.99,4.7
Severo-Yeniseyskiy,96,RU,87,60.37,93.04,-23.62,3.56
Thinadhoo,63,MV,65,0.53,72.93,82.15,5.75
Linxia Chengguanzhen,94,CN,89,35.6,103.21,26.06,2.26
Kamaishi,75,JP,86,39.27,141.88,33.8,3.36
Zmeinogorsk,89,RU,95,51.16,82.19,7.07,5.77
Vredendal,93,ZA,83,-31.67,18.5,60.37,6.04
Klatovy,90,CZ,92,49.4,13.3,35.6,4.7
Kultuk,91,RU,84,51.72,103.7,2.35,2.17
Fare,83,PF,74,-16.7,-151.02,81.03,15.03
Mauguio,0,FR,69,43.62,4.01,39.2,3.36
Constitución,0,CL,74,-35.33,-72.42,54.27,15.99
Marzuq,0,YE,53,14.4,46.47,50.49,3.31
Qinzhou,63,CN,54,21.95,108.62,65.62,10.69
Christchurch,0,NZ,60,-43.53,172.63,72.0,11.41
Caucayá,28,CO,97,-0.19,-74.78,72.16,1.48
Verāval,100,IN,50,20.9,70.37,78.08,6.04
Ghorāwal,0,IN,54,24.77,82.78,62.28,4.45
San Jose,40,US,41,37.34,-121.89,59.0,2.62
Blackwater,91,AU,37,-23.58,148.88,88.54,10.49
Saravan,90,AM,94,39.72,45.65,33.8,9.17
Koumac,36,NC,69,-20.57,164.28,83.93,8.75
Camacha,40,PT,77,33.08,-16.33,62.6,8.05
Ballina,100,AU,57,-28.87,153.57,84.99,18.34
Shawville,91,CA,94,45.6,-76.48,35.01,7.0
Amahai,90,ID,61,-3.33,128.92,87.64,2.55
Honiara,40,SB,70,-9.43,159.95,87.8,8.05
Ji’an,100,CN,73,27.12,114.98,54.72,3.33
Novy Urengoy,100,RU,94,66.08,76.63,7.72,17.22
Kolāras,0,IN,46,25.23,77.6,61.65,4.25
Gorontalo,63,ID,75,0.54,123.06,85.26,2.28
Phan Thiet,99,VN,83,10.93,108.1,79.81,1.88
Xinqing,93,CN,88,48.23,129.5,10.65,5.59
Najrān,0,SA,57,17.49,44.13,51.8,1.21
‘Āhuimanu,40,US,65,21.44,-157.84,78.8,5.82
Gachalá,75,CO,87,4.69,-73.52,55.4,8.05
Arrondissement de Saint-Denis,90,FR,100,48.92,2.33,39.99,10.29
Erenhot,90,CN,91,43.65,111.98,11.28,12.28
North Bend,1,US,93,43.41,-124.22,50.0,9.17
Qaqortoq,0,GL,33,60.72,-46.03,30.2,18.34
Mackenzie,90,CA,92,55.3,-123.17,30.2,10.29
Tiarei,75,PF,62,-17.53,-149.33,86.0,8.05
Dawlatabad,77,AF,96,36.41,64.91,31.95,0.76
Tiznit Province,0,MA,44,29.58,-9.5,56.03,0.92
Bilma,57,NE,22,18.69,12.92,71.24,6.62
Ganzhou,100,CN,76,28.82,115.43,50.97,2.46
Ginda,99,IN,47,30.69,78.49,47.46,4.72
Bundaberg,0,AU,43,-24.85,152.35,84.99,3.0
Mossamedes,76,AO,78,-15.2,12.15,64.89,8.1
Pisco,0,PE,82,-13.7,-76.22,66.2,16.11
Harrismith,66,ZA,83,-28.27,29.13,56.86,1.03
Praia da Vitória,20,PT,82,38.73,-27.07,64.4,11.21
Pachino,5,IT,93,36.72,15.09,44.6,4.7
Battle Creek,1,US,93,42.32,-85.18,36.0,5.82
Podyuga,0,RU,88,61.09,40.86,18.57,6.98
Puerto Ayacucho,86,VE,87,5.66,-67.62,76.23,3.71
Puerto Carreño,56,CO,86,6.19,-67.49,77.97,6.35
Ivdel',88,RU,93,60.69,60.42,15.6,2.48
Lexington,1,US,65,37.99,-84.48,44.6,5.82
Kholodnyy,93,RU,83,62.72,147.95,-27.44,1.36
Novopavlovka,98,RU,86,51.22,109.21,0.93,10.98
Nishihara,75,JP,94,26.18,127.76,69.8,12.75
Visby,98,SE,85,57.64,18.3,36.0,8.05
Jönköping,100,SE,93,57.78,14.16,35.6,11.41
